Month,Day,Hour,NoP
2,9,8,1047
2,9,9,1632
2,9,10,987
2,9,11,864
2,9,12,478
2,9,13,349
2,9,14,364
2,9,15,196
2,9,16,356
2,9,17,578
2,9,18,984
2,9,19,995
2,9,20,874
2,9,21,564
2,9,22,314
2,9,23,78
2,10,7,745
2,10,8,1196
2,10,9,1746
2,10,10,847
2,10,11,968
2,10,12,514
2,10,13,265
2,10,14,349
2,10,15,241
2,10,16,296
2,10,17,557
2,10,18,1189
2,10,19,973
2,10,20,958
2,10,21,587
2,10,22,243
2,10,23,162
2,11,7,748
2,11,8,1137
2,11,9,1374
2,11,10,945
2,11,11,874
2,11,12,565
2,11,13,312
2,11,14,387
2,11,15,245
2,11,16,365
2,11,17,514
2,11,18,925
2,11,19,1089
2,11,20,961
2,11,21,614
2,11,22,378
2,11,23,241
2,12,7,647
2,12,8,1143
2,12,9,1478
2,12,10,964
2,12,11,812
2,12,12,532
2,12,13,274
2,12,14,465
2,12,15,147
2,12,16,365
2,12,17,547
2,12,18,1189
2,12,19,1032
2,12,20,821
2,12,21,645
2,12,22,297
2,12,23,145
2,13,7,632
2,13,8,1478
2,13,9,1465
2,13,10,885
2,13,11,743
2,13,12,598
2,13,13,201
2,13,14,369
2,13,15,214
2,13,16,345
2,13,17,564
2,13,18,1278
2,13,19,984
2,13,20,876
2,13,21,645
2,13,22,214
2,13,23,164
2,14,7,687
2,14,8,1156
2,14,9,1248
2,14,10,947
2,14,11,874
2,14,12,541
2,14,13,324
2,14,14,298
2,14,15,287
2,14,16,341
2,14,17,547
2,14,18,914
2,14,19,1047
2,14,20,965
2,14,21,674
2,14,22,341
2,14,23,265
2,15,7,827
2,15,8,1328
2,15,9,1209
2,15,10,1338
2,15,11,928
2,15,12,729
2,15,13,329
2,15,14,438
2,15,15,329
2,15,16,509
2,15,17,729
2,15,18,1129
2,15,19,1298
2,15,20,908
2,15,21,739
2,15,22,490
2,15,23,359
2,16,7,742
2,16,8,1239
2,16,9,1247
2,16,10,1002
2,16,11,935
2,16,12,592
2,16,13,439
2,16,14,490
2,16,15,218
2,16,16,459
2,16,17,623
2,16,18,1129
2,16,19,1163
2,16,20,872
2,16,21,524
2,16,22,393
2,16,23,198
2,17,7,801
2,17,8,1449
2,17,9,1298
2,17,10,1003
2,17,11,928
2,17,12,627
2,17,13,219
2,17,14,328
2,17,15,361
2,17,16,423
2,17,17,829
2,17,18,1273
2,17,19,1339
2,17,20,1005
2,17,21,743
2,17,22,282
2,17,23,129
2,18,7,806
2,18,8,1223
2,18,9,1539
2,18,10,1228
2,18,11,986
2,18,12,641
2,18,13,438
2,18,14,428
2,18,15,238
2,18,16,326
2,18,17,522
2,18,18,992
2,18,19,1028
2,18,20,1327
2,18,21,932
2,18,22,490
2,18,23,359
2,19,7,629
2,19,8,1228
2,19,9,1738
2,19,10,1229
2,19,11,1029
2,19,12,604
2,19,13,218
2,19,14,323
2,19,15,290
2,19,16,501
2,19,17,653
2,19,18,1238
2,19,19,1105
2,19,20,960
2,19,21,723
2,19,22,439
2,19,23,387
2,20,7,628
2,20,8,1328
2,20,9,1329
2,20,10,829
2,20,11,836
2,20,12,665
2,20,13,423
2,20,14,491
2,20,15,363
2,20,16,423
2,20,17,656
2,20,18,1323
2,20,19,1278
2,20,20,1005
2,20,21,728
2,20,22,528
2,20,23,261
2,21,7,837
2,21,8,1223
2,21,9,1328
2,21,10,1076
2,21,11,989
2,21,12,728
2,21,13,543
2,21,14,428
2,21,15,327
2,21,16,348
2,21,17,652
2,21,18,1040
2,21,19,1112
2,21,20,1030
2,21,21,738
2,21,22,527
2,21,23,359
2,22,7,371
2,22,8,234
2,22,9,827
2,22,10,1328
2,22,11,1209
2,22,12,1338
2,22,13,928
2,22,14,729
2,22,15,329
2,22,16,438
2,22,17,329
2,22,18,509
2,22,19,729
2,22,20,1129
2,22,21,1298
2,22,22,908
2,22,23,739
2,23,7,813
2,23,8,1228
2,23,9,1433
2,23,10,1071
2,23,11,983
2,23,12,661
2,23,13,440
2,23,14,448
2,23,15,327
2,23,16,430
2,23,17,653
2,23,18,1023
2,23,19,1137
2,23,20,1038
2,23,21,781
2,23,22,470
2,23,23,343
2,24,7,715
2,24,8,1150
2,24,9,1756
2,24,10,850
2,24,11,934
2,24,12,512
2,24,13,250
2,24,14,324
2,24,15,250
2,24,16,312
2,24,17,550
2,24,18,1198
2,24,19,956
2,24,20,945
2,24,21,578
2,24,22,250
2,24,23,145
2,25,7,837
2,25,8,1208
2,25,9,1458
2,25,10,1064
2,25,11,983
2,25,12,641
2,25,13,428
2,25,14,470
2,25,15,359
2,25,16,448
2,25,17,637
2,25,18,1007
2,25,19,1215
2,25,20,1046
2,25,21,726
2,25,22,426
2,25,23,346
2,26,7,734
2,26,8,1105
2,26,9,1355
2,26,10,961
2,26,11,880
2,26,12,538
2,26,13,325
2,26,14,367
2,26,15,256
2,26,16,345
2,26,17,534
2,26,18,904
2,26,19,1112
2,26,20,943
2,26,21,623
2,26,22,323
2,26,23,243
2,27,7,628
2,27,8,1229
2,27,9,1438
2,27,10,1038
2,27,11,839
2,27,12,773
2,27,13,549
2,27,14,470
2,27,15,348
2,27,16,542
2,27,17,829
2,27,18,1210
2,27,19,1329
2,27,20,1029
2,27,21,829
2,27,22,549
2,27,23,329
2,28,7,628
2,28,8,928
2,28,9,1120
2,28,10,1439
2,28,11,1328
2,28,12,1002
2,28,13,739
2,28,14,628
2,28,15,328
2,28,16,219
2,28,17,439
2,28,18,743
2,28,19,829
2,28,20,1046
2,28,21,750
2,28,22,526
2,28,23,337
