Month,Day,Hour,NoP
1,13,8,1376
1,13,9,1385
1,13,10,820
1,13,11,751
1,13,12,498
1,13,13,166
1,13,14,320
1,13,15,198
1,13,16,298
1,13,17,507
1,13,18,1165
1,13,19,920
1,13,20,842
1,13,21,565
1,13,22,196
1,13,23,96
1,14,7,642
1,14,8,1065
1,14,9,1196
1,14,10,918
1,14,11,785
1,14,12,499
1,14,13,265
1,14,14,253
1,14,15,247
1,14,16,265
1,14,17,507
1,14,18,857
1,14,19,977
1,14,20,896
1,14,21,600
1,14,22,324
1,14,23,187
1,15,7,759
1,15,8,1176
1,15,9,1394
1,15,10,1029
1,15,11,939
1,15,12,610
1,15,13,388
1,15,14,406
1,15,15,284
1,15,16,383
1,15,17,605
1,15,18,956
1,15,19,1084
1,15,20,983
1,15,21,753
1,15,22,443
1,15,23,312
1,16,7,695
1,16,8,1104
1,16,9,1505
1,16,10,1056
1,16,11,888
1,16,12,545
1,16,13,350
1,16,14,443
1,16,15,266
1,16,16,412
1,16,17,576
1,16,18,1056
1,16,19,1116
1,16,20,913
1,16,21,676
1,16,22,346
1,16,23,156
1,17,7,754
1,17,8,1350
1,17,9,1654
1,17,10,956
1,17,11,912
1,17,12,580
1,17,13,293
1,17,14,415
1,17,15,314
1,17,16,376
1,17,17,609
1,17,18,1226
1,17,19,1036
1,17,20,958
1,17,21,696
1,17,22,325
1,17,23,188
1,18,7,759
1,18,8,1176
1,18,9,1354
1,18,10,1029
1,18,11,939
1,18,12,594
1,18,13,388
1,18,14,381
1,18,15,353
1,18,16,376
1,18,17,605
1,18,18,993
1,18,19,1065
1,18,20,983
1,18,21,691
1,18,22,443
1,18,23,312
1,19,7,695
1,19,8,1323
1,19,9,1565
1,19,10,1039
1,19,11,866
1,19,12,557
1,19,13,343
1,19,14,545
1,19,15,243
1,19,16,454
1,19,17,606
1,19,18,1266
1,19,19,1058
1,19,20,913
1,19,21,676
1,19,22,346
1,19,23,184
1,20,7,754
1,20,8,1365
1,20,9,1495
1,20,10,928
1,20,11,854
1,20,12,618
1,20,13,276
1,20,14,444
1,20,15,316
1,20,16,376
1,20,17,609
1,20,18,1256
1,20,19,1036
1,20,20,958
1,20,21,681
1,20,22,345
1,20,23,214
1,21,7,759
1,21,8,1176
1,21,9,1354
1,21,10,1029
1,21,11,939
1,21,12,594
1,21,13,388
1,21,14,381
1,21,15,353
1,21,16,376
1,21,17,605
1,21,18,993
1,21,19,1065
1,21,20,983
1,21,21,691
1,21,22,443
1,21,23,312
1,22,7,766
1,22,8,1181
1,22,9,1386
1,22,10,1024
1,22,11,936
1,22,12,614
1,22,13,393
1,22,14,401
1,22,15,280
1,22,16,383
1,22,17,606
1,22,18,976
1,22,19,1090
1,22,20,991
1,22,21,734
1,22,22,423
1,22,23,296
1,23,7,701
1,23,8,1079
1,23,9,1701
1,23,10,1046
1,23,11,871
1,23,12,501
1,23,13,376
1,23,14,406
1,23,15,243
1,23,16,380
1,23,17,568
1,23,18,1046
1,23,19,1043
1,23,20,856
1,23,21,636
1,23,22,368
1,23,23,136
1,24,7,771
1,24,8,1206
1,24,9,1812
1,24,10,906
1,24,11,990
1,24,12,568
1,24,13,306
1,24,14,380
1,24,15,306
1,24,16,368
1,24,17,606
1,24,18,1254
1,24,19,1012
1,24,20,1001
1,24,21,634
1,24,22,306
1,24,23,201
1,25,7,790
1,25,8,1161
1,25,9,1411
1,25,10,1017
1,25,11,936
1,25,12,594
1,25,13,381
1,25,14,423
1,25,15,312
1,25,16,401
1,25,17,590
1,25,18,960
1,25,19,1168
1,25,20,999
1,25,21,679
1,25,22,379
1,25,23,299
1,26,7,709
1,26,8,1223
1,26,9,1501
1,26,10,1010
1,26,11,859
1,26,12,577
1,26,13,353
1,26,14,545
1,26,15,221
1,26,16,401
1,26,17,623
1,26,18,1200
1,26,19,1062
1,26,20,902
1,26,21,689
1,26,22,337
1,26,23,190
1,27,7,721
1,27,8,1479
1,27,9,1488
1,27,10,923
1,27,11,854
1,27,12,601
1,27,13,269
1,27,14,423
1,27,15,301
1,27,16,401
1,27,17,610
1,27,18,1268
1,27,19,1023
1,27,20,945
1,27,21,668
1,27,22,299
1,27,23,199
1,28,7,745
1,28,8,1168
1,28,9,1299
1,28,10,1021
1,28,11,888
1,28,12,602
1,28,13,368
1,28,14,356
1,28,15,350
1,28,16,368
1,28,17,610
1,28,18,960
1,28,19,1080
1,28,20,999
1,28,21,703
1,28,22,427
1,28,23,290
2,1,7,673
2,1,8,1189
2,1,9,1409
2,1,10,898
2,1,11,805
2,1,12,474
2,1,13,318
2,1,14,265
2,1,15,220
2,1,16,318
2,1,17,476
2,1,18,877
2,1,19,996
2,1,20,895
2,1,21,616
2,1,22,305
2,1,23,187
2,2,7,629
2,2,8,1031
2,2,9,1207
2,2,10,943
2,2,11,809
2,2,12,474
2,2,13,229
2,2,14,309
2,2,15,190
2,2,16,265
2,2,17,487
2,2,18,931
2,2,19,1062
2,2,20,816
2,2,21,596
2,2,22,229
2,2,23,76
2,3,7,629
2,3,8,1218
2,3,9,1518
2,3,10,798
2,3,11,839
2,3,12,517
2,3,13,207
2,3,14,280
2,3,15,227
2,3,16,255
2,3,17,525
2,3,18,1080
2,3,19,921
2,3,20,831
2,3,21,616
2,3,22,228
2,3,23,77
2,4,7,635
2,4,8,1065
2,4,9,1236
2,4,10,909
2,4,11,807
2,4,12,505
2,4,13,307
2,4,14,317
2,4,15,236
2,4,16,298
2,4,17,477
2,4,18,903
2,4,19,995
2,4,20,895
2,4,21,605
2,4,22,317
2,4,23,229
2,5,7,606
2,5,8,1206
2,5,9,1526
2,5,10,915
2,5,11,790
2,5,12,436
2,5,13,248
2,5,14,442
2,5,15,108
2,5,16,359
2,5,17,515
2,5,18,1205
2,5,19,938
2,5,20,799
2,5,21,602
2,5,22,226
2,5,23,107
2,6,7,612
2,6,8,1302
2,6,9,1416
2,6,10,805
2,6,11,722
2,6,12,484
2,6,13,167
2,6,14,349
2,6,15,168
2,6,16,302
2,6,17,516
2,6,18,1218
2,6,19,931
2,6,20,837
2,6,21,588
2,6,22,218
2,6,23,138
2,7,7,662
2,7,8,1088
2,7,9,1220
2,7,10,926
2,7,11,838
2,7,12,517
2,7,13,292
2,7,14,259
2,7,15,198
2,7,16,301
2,7,17,520
2,7,18,894
2,7,19,1017
2,7,20,887
2,7,21,565
2,7,22,347
2,7,23,194
2,8,7,701
2,8,8,1140
2,8,9,1293
2,8,10,900
2,8,11,798
2,8,12,520
2,8,13,265
2,8,14,320
2,8,15,196
2,8,16,294
2,8,17,531
2,8,18,918
2,8,19,1000
2,8,20,917
2,8,21,638
2,8,22,267
2,8,23,238
2,9,7,591
2,9,8,1000
2,9,9,1585
2,9,10,940
2,9,11,817
2,9,12,431
2,9,13,302
2,9,14,317
2,9,15,149
2,9,16,309
2,9,17,531
2,9,18,937
2,9,19,948
2,9,20,827
2,9,21,517
2,9,22,267
2,9,23,31
2,10,7,698
2,10,8,1149
2,10,9,1699
2,10,10,800
2,10,11,921
2,10,12,467
2,10,13,218
2,10,14,302
2,10,15,194
2,10,16,249
2,10,17,510
2,10,18,1142
2,10,19,926
2,10,20,911
2,10,21,540
2,10,22,196
2,10,23,115
2,11,7,701
2,11,8,1090
2,11,9,1327
2,11,10,898
2,11,11,827
2,11,12,518
2,11,13,265
2,11,14,340
2,11,15,198
2,11,16,318
2,11,17,467
2,11,18,878
2,11,19,1042
2,11,20,914
2,11,21,567
2,11,22,331
2,11,23,194
2,12,7,600
2,12,8,1096
2,12,9,1431
2,12,10,917
2,12,11,765
2,12,12,485
2,12,13,227
2,12,14,418
2,12,15,100
2,12,16,318
2,12,17,500
2,12,18,1142
2,12,19,985
2,12,20,774
2,12,21,598
2,12,22,250
2,12,23,98
2,13,7,585
2,13,8,1431
2,13,9,1418
2,13,10,838
2,13,11,696
2,13,12,551
2,13,13,154
2,13,14,322
2,13,15,167
2,13,16,298
2,13,17,517
2,13,18,1231
2,13,19,937
2,13,20,829
2,13,21,598
2,13,22,167
2,13,23,117
2,14,7,640
2,14,8,1109
2,14,9,1201
2,14,10,900
2,14,11,827
2,14,12,494
2,14,13,277
2,14,14,251
2,14,15,240
2,14,16,294
2,14,17,500
2,14,18,867
2,14,19,1000
2,14,20,918
2,14,21,627
2,14,22,294
2,14,23,218
2,15,7,780
2,15,8,1281
2,15,9,1162
2,15,10,1291
2,15,11,881
2,15,12,682
2,15,13,282
2,15,14,391
2,15,15,282
2,15,16,462
2,15,17,682
2,15,18,1082
2,15,19,1251
2,15,20,861
2,15,21,692
2,15,22,443
2,15,23,312
2,16,7,695
2,16,8,1192
2,16,9,1200
2,16,10,955
2,16,11,888
2,16,12,545
2,16,13,392
2,16,14,443
2,16,15,171
2,16,16,412
2,16,17,576
2,16,18,1082
2,16,19,1116
2,16,20,825
2,16,21,477
2,16,22,346
2,16,23,151
2,17,7,754
2,17,8,1402
2,17,9,1251
2,17,10,956
2,17,11,881
2,17,12,580
2,17,13,172
2,17,14,281
2,17,15,314
2,17,16,376
2,17,17,782
2,17,18,1226
2,17,19,1292
2,17,20,958
2,17,21,696
2,17,22,235
2,17,23,82
2,18,7,759
2,18,8,1176
2,18,9,1492
2,18,10,1181
2,18,11,939
2,18,12,594
2,18,13,391
2,18,14,381
2,18,15,191
2,18,16,279
2,18,17,475
2,18,18,945
2,18,19,981
2,18,20,1280
2,18,21,885
2,18,22,443
2,18,23,312
2,19,7,582
2,19,8,1181
2,19,9,1691
2,19,10,1182
2,19,11,982
2,19,12,557
2,19,13,171
2,19,14,276
2,19,15,243
2,19,16,454
2,19,17,606
2,19,18,1191
2,19,19,1058
2,19,20,913
2,19,21,676
2,19,22,392
2,19,23,340
2,20,7,581
2,20,8,1281
2,20,9,1282
2,20,10,782
2,20,11,789
2,20,12,618
2,20,13,376
2,20,14,444
2,20,15,316
2,20,16,376
2,20,17,609
2,20,18,1276
2,20,19,1231
2,20,20,958
2,20,21,681
2,20,22,481
2,20,23,214
2,21,7,790
2,21,8,1176
2,21,9,1281
2,21,10,1029
2,21,11,942
2,21,12,681
2,21,13,496
2,21,14,381
2,21,15,280
2,21,16,301
2,21,17,605
2,21,18,993
2,21,19,1065
2,21,20,983
2,21,21,691
2,21,22,480
2,21,23,312
2,22,7,324
2,22,8,187
2,22,9,780
2,22,10,1281
2,22,11,1162
2,22,12,1291
2,22,13,881
2,22,14,682
2,22,15,282
2,22,16,391
2,22,17,282
2,22,18,462
2,22,19,682
2,22,20,1082
2,22,21,1251
2,22,22,861
2,22,23,692
2,23,7,766
2,23,8,1181
2,23,9,1386
2,23,10,1024
2,23,11,936
2,23,12,614
2,23,13,393
2,23,14,401
2,23,15,280
2,23,16,383
2,23,17,606
2,23,18,976
2,23,19,1090
2,23,20,991
2,23,21,734
2,23,22,423
2,23,23,296
2,24,7,668
2,24,8,1103
2,24,9,1709
2,24,10,803
2,24,11,887
2,24,12,465
2,24,13,203
2,24,14,277
2,24,15,203
2,24,16,265
2,24,17,503
2,24,18,1151
2,24,19,909
2,24,20,898
2,24,21,531
2,24,22,203
2,24,23,98
2,25,7,790
2,25,8,1161
2,25,9,1411
2,25,10,1017
2,25,11,936
2,25,12,594
2,25,13,381
2,25,14,423
2,25,15,312
2,25,16,401
2,25,17,590
2,25,18,960
2,25,19,1168
2,25,20,999
2,25,21,679
2,25,22,379
2,25,23,299
2,26,7,687
2,26,8,1058
2,26,9,1308
2,26,10,914
2,26,11,833
2,26,12,491
2,26,13,278
2,26,14,320
2,26,15,209
2,26,16,298
2,26,17,487
2,26,18,857
2,26,19,1065
2,26,20,896
2,26,21,576
2,26,22,276
2,26,23,196
2,27,7,581
2,27,8,1182
2,27,9,1391
2,27,10,991
2,27,11,792
2,27,12,726
2,27,13,502
2,27,14,423
2,27,15,301
2,27,16,495
2,27,17,782
2,27,18,1163
2,27,19,1282
2,27,20,982
2,27,21,782
2,27,22,502
2,27,23,282
2,28,7,581
2,28,8,881
2,28,9,1073
2,28,10,1392
2,28,11,1281
2,28,12,955
2,28,13,692
2,28,14,581
2,28,15,281
2,28,16,172
2,28,17,392
2,28,18,696
2,28,19,782
2,28,20,999
2,28,21,703
2,28,22,479
2,28,23,290
